Image,Kernel Size,MPI,OpenMP,Sequential
2K_download,3,0.12,1.04,1.34
2K_download,5,0.22,1.09,1.95
2K_download,7,0.36,1.12,2.36
2K_download,9,0.49,1.21,3.15
2K_download,11,0.7,1.27,4.17
2K_lena,3,0.14,1.17,1.42
2K_lena,5,0.24,1.08,1.82
2K_lena,7,0.36,1.22,2.44
2K_lena,9,0.5,1.24,3.2
2K_lena,11,0.7,1.32,4.24
4K_download,3,0.32,1.25,2.6
4K_download,5,0.6,1.41,4.11
4K_download,7,1.1,1.57,6.35
4K_download,9,1.7,2.15,9.71
4K_download,11,2.41,2.41,13.27
4K_lena,3,0.39,1.21,2.61
4K_lena,5,0.73,1.44,4.2
4K_lena,7,1.13,1.7,6.46
4K_lena,9,1.74,2.15,9.99
4K_lena,11,2.49,2.45,13.71
8K_download,3,1.04,1.41,6.33
8K_download,5,2.25,2.51,13.9
8K_download,7,4.01,3.51,22.89
8K_download,9,6.58,5.0,35.52
8K_download,11,9.63,6.79,50.33
8K_download,101,744.05,,
8K_lena,3,1.3,2.02,7.7
8K_lena,5,2.52,2.72,14.18
8K_lena,7,4.27,3.87,23.19
8K_lena,9,6.74,5.29,36.93
8K_lena,11,9.74,7.46,51.93
Full_HD_download,3,0.11,1.01,1.34
Full_HD_download,5,0.2,1.05,1.75
Full_HD_download,7,0.31,1.12,2.37
Full_HD_download,9,0.49,1.15,3.16
Full_HD_download,11,0.67,1.25,4.14
Full_HD_lena,3,0.13,1.03,1.34
Full_HD_lena,5,0.21,1.05,1.85
Full_HD_lena,7,0.31,1.13,2.35
Full_HD_lena,9,0.46,1.19,3.03
Full_HD_lena,11,0.66,1.3,3.98
HD_download,3,0.08,1.0,1.16
HD_download,5,0.11,0.97,1.27
HD_download,7,0.17,1.07,1.55
HD_download,9,0.25,1.02,1.8
HD_download,11,0.31,1.06,2.23
HD_lena,3,0.08,1.28,1.16
HD_lena,5,0.14,0.99,1.29
HD_lena,7,0.18,1.02,1.54
HD_lena,9,0.26,1.01,1.84
HD_lena,11,0.33,1.07,2.26
Quad_HD_download,3,0.17,1.08,2.0
Quad_HD_download,5,0.32,1.12,2.41
Quad_HD_download,7,0.51,1.22,3.35
Quad_HD_download,9,0.8,1.37,5.28
Quad_HD_download,11,1.12,1.67,6.33
Quad_HD_lena,3,0.2,1.13,1.7
Quad_HD_lena,5,0.34,1.24,2.45
Quad_HD_lena,7,0.56,1.34,3.46
Quad_HD_lena,9,0.84,1.49,4.98
Quad_HD_lena,11,1.17,1.64,6.37
VGA_download,3,0.06,0.97,1.08
VGA_download,5,0.07,0.95,1.03
VGA_download,7,0.1,0.95,1.12
VGA_download,9,0.12,0.97,1.19
VGA_download,11,0.15,0.96,1.42
VGA_lena,3,0.06,1.02,1.0
VGA_lena,5,0.08,0.95,1.05
VGA_lena,7,0.1,0.96,1.14
VGA_lena,9,0.12,0.93,1.21
VGA_lena,11,0.15,0.95,1.34
thumbnail_download,3,0.05,0.95,0.94
thumbnail_download,5,0.06,0.93,1.0
thumbnail_download,7,0.05,0.96,0.95
thumbnail_download,9,0.06,0.95,0.97
thumbnail_download,11,0.05,0.89,0.9
thumbnail_lena,3,0.05,0.97,0.99
thumbnail_lena,5,0.05,0.93,0.93
thumbnail_lena,7,0.05,1.07,0.93
thumbnail_lena,9,0.07,0.91,0.99
thumbnail_lena,11,0.05,0.9,0.92
